Station,SampleDate,SampleTime,TotalDepth,Depth,Parameter,MeasureValue,Unit,Latitude,Longitude
CB1.1,6/6/2018,11:26:00,5.5,4,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,1,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,2,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,3,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,0.5,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,5,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,1,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,2,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,3,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,0.5,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,4,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,4,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,1,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,2,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,3,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,0.5,SALINITY,0,PPT,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,0.5,WTEMP,29.9,DEG C,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,3,WTEMP,29.9,DEG C,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,2,WTEMP,29.9,DEG C,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,1,WTEMP,29.9,DEG C,39.54794,-76.08481
CB1.1,7/11/2018,11:12:00,5.5,4,WTEMP,29.8,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,4,WTEMP,25.9,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,0.5,WTEMP,26,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,3,WTEMP,25.9,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,2,WTEMP,26,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,1,WTEMP,26,DEG C,39.54794,-76.08481
CB1.1,6/27/2018,11:02:00,6.5,5,WTEMP,25.8,DEG C,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,0.5,WTEMP,23.5,DEG C,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,3,WTEMP,23.4,DEG C,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,2,WTEMP,23.4,DEG C,39.54794,-76.08481
CB1.1,6/6/2018,11:26:00,5.5,1,WTEMP,23.4,DEG C,39.54794,-76.08481
