System_Name,System_ID
10MI_RES,1405200102
8.5 Square Mile Area,3405000090
A1 FEB,1405200092
Arbuckle Creek Levee,1405000761
Broward Effective Firm Levees 19,1405000516
C-111 SD North Detention L-315,3405000128
C-111 SD North Detention L-316,3405000129
C-111 SD South Detention L-320,3405000080
C-111 SD South Detention L-322 L-323,3405000105
C-19 West,3405000101
C-41N East,3405000107
C-44 STA,3405000133
Davie Agricultural Area,3405000057
EAA Ocean-Hilsboro,3405000039
East Big Cypress Seminole IR,3405000095
"East Coast Protective Levee, L-30",3405000007
"East Coast Protective Levees, L-33",3405000006
"East Coast Protective Levees, L-35, L-37",3405000016
"East Coast Protective Levees, L-36, L35A",3405000015
"East Coast Protective Levees, L-40, L-85, STA-1E",3405000014
Fellsmere Water Management Area,1405200089
Fort Pickens Seawall,7105000003
Hendry county levee 44,1405000826
Hidden River Levee System,200005000001
Indian River Levee 10,1405200011
Indian River Levee 15,1405000557
Jane Green Detention South,3405000017
L47_1,1405200096
L-1 North of L-1 East,3405000124
L-13,3405000108
L-14,3405000041
L-20,3405000042
L-212,3405000020
L-25 West,3405000036
L-29,3405000050
L-31 East,3405000051
L-31 North,3405000076
L-31 West North,3405000130
L-31 West South,3405000131
L-38 Sec 1,3405000102
L-38 Section 2,3405000053
"L-38 Section 3, Internal Drainage",3405000106
L-41 and L-42,3405000030
L-59,3405000032
L-60,3405000033
L-61,3405000034
L-62,3405000035
"L-63S, L-64 and L-65",3405000031
L-8 East,3405000044
L-8 North,3405000045
"L-8 West, L-10 and L-12",3405000038
LR STA1,1405200094
LR STA2,1405200095
Mills Creek Levee,1405000125
NNW Lake Okeechobee Watershed,3405000063
North central EAA,3405000043
Nubbin Slough,3405000067
Ocklawaha River Basin,3405000004
PACKINGHAM SLOUGH,1405200097
Palm Beach County A (T),1405000873
Palm Beach Levee 15,1405200049
Palm Beach Levee 18,1405200034
Palm Beach Levee 6,1405200084
Picayune Strand,3405000123
S383CON_1,1405200091
S-332D Detention Area,3405000132
S-48 North Tieback,3405000121
S-48 South Tieback,3405000122
S-57 Tieback,3405000115
S-59 Tieback,3405000117
S-61 and S-63A Tiebacks,3405000114
S-65E Tieback,3405000072
S-67 Tieback,3405000113
S-71 West Tieback,3405000065
S-84 Tieback North,3405000073
S-97 North Tieback,3405000118
S-97 South Tieback,3405000119
Seminole Big Cypress Basin 1,3405000110
Seminole Big Cypress Basin 2,3405000126
Seminole Big Cypress Basin 4,3405000111
South central EAA,3405000047
Southeast EAA,3405000046
St Johns River Spoil Bank 3,1405200015
STA-5/6,1405200101
Taylor Creek,3405000079
"Upper St. Johns River Basin, North",3405000001
"Upper St. Johns River Basin, South",3405000010
WCA-2 Internal Levees,3405000052
WCA-2A,3405000055
WCA-3B,3405000056
Western EAA,3405000037
WNW Lake Okeechobee Watershed,3405000064
