System_ID,Segment_Name,Segment_ID,Authorization_Category,Sponsor
1605995077,1-1B (TBS) 2,1605995077,"Locally Constructed, Locally Operated and Maintained",Undefined
3.00E+11,4 C Land Company System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
1605995181,8-Apr,1605995181,"Locally Constructed, Locally Operated and Maintained",Terrebonne Levee and Conservation District
5905000001,AR-LA MS River,5905000001,USACE Federally Constructed and USACE Federally Operated,"City of Pine Bluff, Fifth Louisiana Levee District, Frenchtown-Auburn Levee District, Southeast Arkansas Levee District, USACE - Vicksburg District"
3.00E+11,Alidore System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
1605995130,Alluvial City Levee,1605995130,"Locally Constructed, Locally Operated and Maintained",Lake Borgne Basin Levee District
4405000554,Angola Ring Area,4405000554,"USACE Federally constructed, turned over to public sponsor operations and maintenance",Louisiana State Penitentiary
3.00E+11,Apache Land Company System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Aucoin Pump Levee System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Banans Camp System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Bayou Blue-Bobcat System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Bayou Boeuf School System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Bayou Drive Bridge Pump Levee System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
1605995119,Bayou Gardens 2,1605995119,"Locally Constructed, Locally Operated and Maintained",Undefined
4405000518,Bayou Sale Area,4405000518,USACE Federally Constructed and USACE Federally Operated,St. Mary Levee District
3.00E+11,Bayou Saules West Guide System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",UNKNOWN
1605255001,Bayou du Large System 1,1605255001,"Locally Constructed, Locally Operated and Maintained",Terrebonne Levee and Conservation District
1605255002,Bayou du Large System 2,1605255002,"Locally Constructed, Locally Operated and Maintained",Terrebonne Levee and Conservation District
3.00E+11,Belle River North System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Belle River System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Bowie System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
1605995118,Bull Run Road,1605995118,"Locally Constructed, Locally Operated and Maintained",Terrebonne Levee and Conservation District
3.00E+11,Butch Hill-Fantastic Acres Syatem,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Butch Hill-North Lafourche LD 1 System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
3.00E+11,Butch Hill-North Lafourche LD 2 System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
4405000506,Caernarvon to Phoenix Polder,4405000506,USACE Federally Constructed and USACE Federally Operated,Plaquemines Levee District
3.00E+11,Camelia Avenue Laplace System,3.00E+11,"Locally Constructed, Locally Operated and Maintained",
