site_no;station_nm
02492511;East Pearl River at I-59 near Nicholson, MS
02492519;Pearl River Navigation Canal Lock and Dam No. 1
02492600;Pearl River at Pearl River, LA
02492700;Pearl River at I-10 near Slidell, LA
07374000;Mississippi River at Baton Rouge, LA
073745245;Caernarvon Canal Sector Gate at Caernarvon, La
073745253;Reggio Canal near Wills Point, LA
07374581;Bayou Liberty near Slidell,LA
07375050;Tchefuncte River near Covington, LA
07375170;Bogue Falaya at Covington, LA
07375175;Bogue Falaya River at Boston St. at Covington, LA
07375222;Abita River north of Abita Springs, LA
07375230;Tchefuncte River at Madisonville, LA
07375500;Tangipahoa River at Robert, LA
07375650;Tangipahoa River near Ponchatoula, LA
07376000;Tickfaw River at Holden, LA
07378050;Comite R. at Greenwell Spg Rd near Baton Rouge, LA
07378500;Amite River near Denham Springs, LA
07378745;Alligator Bayou near Kleinpeter, LA
07378746;Bayou Manchac at Alligator B. near Kleinpeter, LA
07378748;Bluff Swamp near Kleinpeter, LA
07378810;Bayou Fountain at Bluebonnet Blvd near  B.R., LA
07379050;Ward Creek at Essen Lane near Baton Rouge, LA
07379075;Old Ward Crk Div. at Highland Rd. nr Baton Rouge
07380101;Bayou Manchac near Little Prairie, LA
07380102;Welsh Gully at J. Broussard Rd nr Prairieville, LA
07380120;Amite River at Port Vincent, LA
07380126;Henderson Bayou near Port Vincent, LA
07380127;Henderson Bayou Pump Station near Port Vincent, LA
07380200;Amite River near French Settlement, LA
07380212;Airline Canal at Blind River near Gramercy, LA
07380215;Amite River at Hwy 22 near Maurepas, LA
073802220;Panama Canal at Hwy 44 near Gonzales, LA
073802225;Bayou Conway near Sorrento, LA
0738022295;Grand Goudine at Babin Rd Near Duplessis, LA
0738022395;Black Bayou at Hwy 621 near Prairieville, LA
073802245;Black Bayou E of Gonzales, LA
073802273;Bayou Francois at Hwy 61 Near Gonzales, LA
073802280;New River north of Sorrento, La
073802282;New River Canal near Sorrento, LA
073802284;New River Canal east of Sorrento, LA
07380330;Bayou Perot at Point Legard near Cutoff, LA
07380401;Bayou Lafourche SW of Donaldsonville, LA
07380500;Bayou Lafourche at Napoleonville, LA
07381000;Bayou Lafourche at Thibodaux, LA
07381150;Bayou Lafourche at Lockport, LA
07381324;Bayou Grand Caillou at Dulac, LA
07381350;Company Canal at Hwy 1 at Lockport, LA
07381355;Company Canal at Salt Barrier near Lockport, LA
07381450;Lower Grand River at Bayou Sorrel, LA
07381454;Belle River at Hwy 70 near Pierre Part, LA
07381460;Bayou Milhomme near Stephensville, LA
07381490;Atchafalaya River at Simmesport, LA
07381515;Atchafalaya River at Butte La Rose, LA
073815450;Chicot Pass near Myette Point near Charenton, LA
07381590;Wax Lake Outlet at Calumet, LA
073815945;Bayou Teche E of Calumet Flood Gate at Calumet, LA
073815963;Murphy Lake near Bayou Sorrel, LA
07381600;Lower Atchafalaya River at Morgan City, LA
07384400;State Canal near Krotz Springs, LA
07385700;Bayou Teche at Keystone L&D nr St. Martinville, LA
07385702;Bayou Teche below Keystone L&D nr St. Martinville
07385765;Bayou Teche at Adeline Bridge near Jeanerette, LA
07385820;Bayou Teche W of Calumet Flood Gate at Calumet, LA
07386600;Vermilion River (B. Vermilion) near Carencro, LA
07386850;Vermilion River near Lafayette, LA
08010000;Bayou Des Cannes near Eunice, LA
08012150;Mermentau River At Mermentau, LA
292952090565300;CRMS0411-H01-RT
293809092361500;CRMS0609-H01-RT
294045092492300;CRMS0615-H01-RT
294717092250000;CRMS0568-H01-RT
295011091184300;Little Bayou Long North of Duck Lake, LA
2951190901217;L. Cataouatche at Whiskey Canal S of Waggaman, LA
295124089542100;Caernarvon Outfall Channel at Caernarvon, LA
295447091191500;Middle Fork Bayou Long at Bayou Long
295501090190400;Davis Pond Freshwater Diversion near Boutte, LA
300312091320000;Arm of Grand Lake near Crook Chene Cove
300507091355600;Bayou Darby near Lake Fausse Point Cut
300602090375100;CRMS5373-H01-RT
300703089522700;Y-Pipeline Cnl in Byu Sauvage NWR at N.O. East, LA
301200090072400;L Pontchartrain at Crossover 4 near Mandeville, LA
301324090382400;CRMS0061-H01-RT
302020091435700;Lake Pelba at I-10 near Henderson, LA
