 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / Débit (cms),Grade,Symbol / Symbole,QA/QC
02OA016,2023-12-31T00:00:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T00:05:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T00:10:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T00:15:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T00:20:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T00:25:00-05:00,1.354,,,1,9190,,,1
02OA016,2023-12-31T00:30:00-05:00,1.355,,,1,9200,,,1
02OA016,2023-12-31T00:35:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T00:40:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T00:45:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T00:50:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T00:55:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:00:00-05:00,1.356,,,1,9200,,,1
02OA016,2023-12-31T01:05:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T01:10:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T01:15:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T01:20:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:25:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T01:30:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T01:35:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T01:40:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T01:45:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:50:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T01:55:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:00:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T02:05:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:10:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:15:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T02:20:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T02:25:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T02:30:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:35:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T02:40:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T02:45:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:50:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:55:00-05:00,1.356,,,1,9200,,,1
02OA016,2023-12-31T03:00:00-05:00,1.358,,,1,9210,,,1
02OA016,2023-12-31T03:05:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T03:10:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T03:15:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T03:20:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T03:25:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T03:30:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T03:35:00-05:00,1.343,,,1,9150,,,1
02OA016,2023-12-31T03:40:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T03:45:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T03:50:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T03:55:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T04:00:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T04:05:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T04:10:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:15:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T04:20:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T04:25:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:30:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T04:35:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T04:40:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:45:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:50:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T04:55:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T05:00:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T05:05:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:10:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T05:15:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:20:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T05:25:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T05:30:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T05:35:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T05:40:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:45:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T05:50:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T05:55:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T06:00:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T06:05:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T06:10:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T06:15:00-05:00,1.345,,,1,9160,,,1
