#Name, freq, doodsonamp, doodsonspecies, potentialamp
  Z0 0.0000000000 NaN NaN 0.000000
  SA 0.0000001991 0.011600 0.000000 0.000000
 SSA 0.0000003982 0.072990 0.000000 0.019446
 MSM 0.0000022860 NaN NaN 0.000000
  MM 0.0000026392 0.082540 0.000000 0.022026
 MSF 0.0000049252 0.013760 0.000000 0.000000
  MF 0.0000053234 0.156420 0.000000 0.041742
ALP1 0.0000600333 0.002780 -1.000000 0.000000
 2Q1 0.0000623193 0.009550 -1.000000 0.000000
SIG1 0.0000626725 0.011530 -1.000000 0.000000
  Q1 0.0000649585 0.072160 -1.000000 0.019256
RHO1 0.0000653117 0.013710 -1.000000 0.000000
  O1 0.0000675977 0.376890 -1.000000 0.100514
TAU1 0.0000679960 -0.004910 -1.000000 0.000000
BET1 0.0000698837 -0.002780 -1.000000 0.000000
 NO1 0.0000702820 -0.029640 -1.000000 0.000000
CHI1 0.0000706352 -0.005660 -1.000000 0.000000
 PI1 0.0000723238 0.010290 -1.000000 0.000000
  P1 0.0000725229 0.175840 -1.000000 0.046843
  S1 0.0000727221 -0.004230 -1.000000 0.000000
  K1 0.0000729212 -0.530500 -1.000000 0.141565
PSI1 0.0000731203 -0.004230 -1.000000 0.000000
PHI1 0.0000733194 NaN NaN 0.000000
THE1 0.0000752072 -0.007560 -1.000000 0.000000
  J1 0.0000755604 -0.029640 -1.000000 0.000000
2PO1 0.0000774481 NaN NaN 0.000000
 SO1 0.0000778464 NaN NaN 0.000000
 OO1 0.0000782446 -0.016230 -1.000000 0.000000
UPS1 0.0000808838 -0.003110 -1.000000 0.000000
ST36 0.0001280293 NaN NaN 0.000000
2NS2 0.0001303153 NaN NaN 0.000000
ST37 0.0001306685 NaN NaN 0.000000
 ST1 0.0001307135 NaN NaN 0.000000
 OQ2 0.0001326013 0.002590 2.000000 0.000000
EPS2 0.0001329545 0.006710 2.000000 0.000000
 ST2 0.0001333527 NaN NaN 0.000000
 ST3 0.0001347973 NaN NaN 0.000000
  O2 0.0001351955 NaN NaN 0.000000
 2N2 0.0001352405 0.023010 2.000000 0.000000
 MU2 0.0001355937 0.027770 2.000000 0.000000
SNK2 0.0001374815 NaN NaN 0.000000
  N2 0.0001378797 0.173870 2.000000 0.046398
 NU2 0.0001382329 0.033030 2.000000 0.000000
 ST4 0.0001386761 NaN NaN 0.000000
 OP2 0.0001401207 NaN NaN 0.000000
GAM2 0.0001401657 -0.002730 2.000000 0.000000
  H1 0.0001403198 -0.003140 2.000000 0.000000
  M2 0.0001405189 0.908120 2.000000 0.242334
  H2 0.0001407180 0.002760 2.000000 0.000000
MKS2 0.0001409171 NaN NaN 0.000000
 ST5 0.0001413153 NaN NaN 0.000000
 ST6 0.0001424067 NaN NaN 0.000000
LDA2 0.0001428049 -0.006700 2.000000 0.000000
  L2 0.0001431581 -0.025670 2.000000 0.000000
2SK2 0.0001450459 NaN NaN 0.000000
  T2 0.0001452450 0.024790 2.000000 0.000000
  S2 0.0001454441 0.423580 2.000000 0.112841
  R2 0.0001456432 -0.003540 2.000000 0.000000
  K2 0.0001458423 0.115060 2.000000 0.030704
MSN2 0.0001480833 NaN NaN 0.000000
ETA2 0.0001484815 0.006430 2.000000 0.000000
 ST7 0.0001488797 NaN NaN 0.000000
2SM2 0.0001503693 NaN NaN 0.000000
ST38 0.0001507225 NaN NaN 0.000000
SKM2 0.0001507675 NaN NaN 0.000000
